year	SST
1916	15.642
1917	16.743
1918	17.385
1919	16.81
1920	16.576
1921	16.536
1922	16.533
1923	17.328
1924	16.437
1925	17.032
1926	18.081
1927	16.88
1928	16.745
1929	17.207
1930	17.472
1931	18.514
1932	16.322
1933	15.675
1934	17.552
1935	16.725
1936	17.626
1937	17.059
1938	16.693
1939	17.211
1940	17.366
1941	17.673
1942	17.029
1943	17.016
1944	16.497
1945	16.63
1946	16.858
1947	16.901
1948	16.084
1949	16.548
1950	16.418
1951	16.647
1952	16.323
1953	16.281
1954	16.925
1955	16.536
1956	16.389
1957	17.374
1958	17.859
1959	18.404
1960	16.629
1961	16.544
1962	16.258
1963	16.977
1964	16.441
1965	16.543
1966	17.029
1967	16.949
1968	16.95
1969	16.669
1970	16.66
1971	16.206
1972	16.893
1973	16.467
1974	16.489
1975	15.546
1976	17.269
1977	17.265
1978	17.449
1979	16.86
1980	16.63
1981	17.629
1982	17.156
1983	17.984
1984	18.305
1985	17.236
1986	17.73
1987	17.574
1988	17.024
1989	17.202
1990	17.905
1991	16.979
1992	18.274
1993	18.376
1994	18.093
1995	17.765
1996	17.914
1997	19.328
1998	18.061
1999	16.523
2000	17.658
2001	17.419
2002	17.391
2003	17.714
2004	18.354
2005	18.294
2006	18.137
2007	17.644
2008	17.742
2009	18.167
2010	17.217
2011	17.015
2012	17.666
2013	17.592
2014	19.455
2015	19.585
2016	18.668
2017	18.591
2018	19.083
2019	18.682
2020	18.447
