year	month	dd	y
2011	1	2011.08	0.31
2011	2	2011.15	0.38
2011	3	2011.23	0.41
2011	4	2011.31	0.39
2011	5	2011.38	0.31
2011	6	2011.46	0.21
2011	7	2011.54	0.12
2011	8	2011.62	0.07
2011	9	2011.69	0.01
2011	10	2011.77	0.05
2011	11	2011.85	0.11
2011	12	2011.92	0.22
2012	1	2012.08	0.32
2012	2	2012.15	0.39
2012	3	2012.23	0.42
2012	4	2012.31	0.39
2012	5	2012.38	0.32
2012	6	2012.46	0.25
2012	7	2012.54	0.12
2012	8	2012.62	0.05
2012	9	2012.69	0.02
2012	10	2012.77	0.06
2012	11	2012.85	0.13
2012	12	2012.92	0.24
2013	1	2013.08	0.37
2013	2	2013.15	0.4
2013	3	2013.23	0.44
2013	4	2013.31	0.41
2013	5	2013.38	0.33
2013	6	2013.46	0.24
2013	7	2013.54	0.14
2013	8	2013.62	0.06
2013	9	2013.69	0.04
2013	10	2013.77	0.21
2013	11	2013.85	0.14
2013	12	2013.92	0.25
2014	1	2014.08	0.35
2014	2	2014.15	0.43
2014	3	2014.23	0.44
2014	4	2014.31	0.43
2014	5	2014.38	0.35
2014	6	2014.46	0.25
2014	7	2014.54	0.17
2014	8	2014.62	0.08
2014	9	2014.69	0.07
2014	10	2014.77	0.1
2014	11	2014.85	0.16
2014	12	2014.92	0.25
2015	1	2015.08	0.36
2015	2	2015.15	0.5
2015	3	2015.23	0.47
2015	4	2015.31	0.47
2015	5	2015.38	0.36
2015	6	2015.46	0.27
2015	7	2015.54	0.17
2015	8	2015.62	0.12
2015	9	2015.69	0.06
2015	10	2015.77	0.11
2015	11	2015.85	0.17
2015	12	2015.92	0.28
2016	1	2016.08	0.36
2016	2	2016.15	0.45
2016	3	2016.23	0.47
2016	4	2016.31	0.45
2016	5	2016.38	0.38
2016	6	2016.46	0.27
2016	7	2016.54	0.17
2016	8	2016.62	0.18
2016	9	2016.69	0.08
2016	10	2016.77	0.1
2016	11	2016.85	0.18
2016	12	2016.92	0.29
2017	1	2017.08	0.38
2017	2	2017.15	0.46
2017	3	2017.23	0.48
2017	4	2017.31	0.47
2017	5	2017.38	0.39
2017	6	2017.46	0.28
2017	7	2017.54	0.19
2017	8	2017.62	0.13
2017	9	2017.69	0.1
2017	10	2017.77	0.14
2017	11	2017.85	0.21
2017	12	2017.92	0.3
2018	1	2018.08	0.39
2018	2	2018.15	0.47
2018	3	2018.23	0.49
2018	4	2018.31	0.47
2018	5	2018.38	0.42
2018	6	2018.46	0.32
2018	7	2018.54	0.21
2018	8	2018.62	0.15
2018	9	2018.69	0.13
2018	10	2018.77	0.12
2018	11	2018.85	0.2
2018	12	2018.92	0.33
2019	1	2019.08	0.41
2019	2	2019.15	0.48
2019	3	2019.23	0.51
2019	4	2019.31	0.48
2019	5	2019.38	0.4
2019	6	2019.46	0.31
2019	7	2019.54	0.22
2019	8	2019.62	0.15
2019	9	2019.69	0.13
2019	10	2019.77	0.2
2019	11	2019.85	0.21
2019	12	2019.92	0.34
2020	1	2020.08	0.42
2020	2	2020.15	0.53
2020	3	2020.23	0.53
2020	4	2020.31	0.5
2020	5	2020.38	0.51
2020	6	2020.46	0.37
2020	7	2020.54	0.23
2020	8	2020.62	0.15
2020	9	2020.69	0.16
2020	10	2020.77	0.15
2020	11	2020.85	0.25
2020	12	2020.92	0.33
