Time,Annual Peak Streamflow (cfs)
16/05/81,44500
14/03/82,56400
03/05/83,60800
14/02/84,40400
25/02/85,80400
12/12/85,41600
20/05/87,14700
08/04/88,33300
05/06/89,40700
24/02/90,53300
31/12/90,77400
16/07/92,33300
06/01/93,62500
13/04/94,65600
08/03/95,30800
20/07/96,35400
28/02/97,54800
24/07/98,54500
24/01/99,61100
26/06/00,31000
11/02/01,34800
02/02/02,40700
10/07/03,80000
13/06/04,58300
14/01/05,80000
18/04/06,30100
16/01/07,50800
07/02/08,72400
12/03/09,59200
23/06/10,44300
29/04/11,58400
16/12/11,45800
20/04/13,85700
24/02/14,51500
18/06/15,69500
